Model,Class,Precision,Recall,Dice,HD95
UNET,Ventricles,0.912415295,0.911334574,0.911874615,5.339420631
UNET,WMH,0.801302247,0.801639,0.801470588,19.06576712
UNET,Overall,0.856858771,0.856486787,0.856672601,12.20259388
ATTN_UNET,Ventricles,0.911729575,0.922550702,0.917108219,3.851465528
ATTN_UNET,WMH,0.834476452,0.76696785,0.799299245,20.23364596
ATTN_UNET,Overall,0.873103013,0.844759276,0.858203732,12.04255574
TRANS_UNET,Ventricles,0.913298791,0.894776282,0.903942661,8.882210871
TRANS_UNET,WMH,0.881039461,0.641171114,0.742206186,24.84149984
TRANS_UNET,Overall,0.897169126,0.767973698,0.823074424,16.86185535
DEEPL3_UNET,Ventricles,0.866920896,0.857260267,0.862063517,11.28898522
DEEPL3_UNET,WMH,0.761527211,0.692932689,0.725612439,24.45284242
DEEPL3_UNET,Overall,0.814224053,0.775096478,0.793837978,17.87091382
